epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,223.002,0.19811,0.96436,1,0.11133,0.000329457,0.000329457,0.000329457
2,431.761,0.15801,0.95842,1,0.1202,0.00060811,0.00060811,0.00060811
3,637.814,0.19152,0.95842,1,0.12115,0.000831764,0.000831764,0.000831764
4,829.217,0.20846,0.92871,0.99604,0.22719,0.0007525,0.0007525,0.0007525
5,1019.65,0.17563,0.93861,1,0.18001,0.00067,0.00067,0.00067
6,1210.13,0.13189,0.95644,1,0.14391,0.0005875,0.0005875,0.0005875
